id,qname,heading,text,type,diagram,website,updated
,ContractualElement,ContractualElement,"A contractual element is an element that forms part of a contract, such as a definition, condition, or commitment.",Class,https://w3id.org/citydata/part2/v1/diagrams/ContractualElement.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/ContractualElement'>Web</a></body></html>,2026-08-13T09:58:56.871648
,Definition,Definition,"A definition is a statement that explains the meaning of a term or concept as used within the domain object (e.g., a document).",Class,https://w3id.org/citydata/part2/v1/diagrams/Definition.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/Definition'>Web</a></body></html>,2026-08-13T09:58:56.871648
,CityOrgThing,CityOrgThing,"Added for organizational purposes, to identify classes defined in the City Organization ontology.",Class,https://w3id.org/citydata/part2/v1/diagrams/CityOrgThing.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/CityOrgThing'>Web</a></body></html>,2026-08-13T09:58:56.871648
,Residence,Residence,,Class,https://w3id.org/citydata/part2/v1/diagrams/Residence.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/Residence'>Web</a></body></html>,2026-08-13T09:58:56.871648
,Code,Code,"A code represents a possible set of values for a property, according to some predefined system of values.",Class,https://w3id.org/citydata/part2/v1/diagrams/Code.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/Code'>Web</a></body></html>,2026-08-13T09:58:56.871648
,Building,Building,"A Building is a type of Infrastructure Element that is a structure with a roof and walls, such as a house, school, or factory. The location of a Building may change due to construction, but the Parcel/Lot of land it is located on cannot (i.e., moving an entire building results in a change in object instance). ",Class,https://w3id.org/citydata/part2/v1/diagrams/Building.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/Building'>Web</a></body></html>,2026-08-13T09:58:56.871648
,Bridge,Bridge,A Bridge is a Infrastructure Element that enables travel over some obstacle or area. It may contain some Road Segments or Rail Line Segments.,Class,https://w3id.org/citydata/part2/v1/diagrams/Bridge.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/Bridge'>Web</a></body></html>,2026-08-13T09:58:56.871648
,MainBylaw,MainBylaw,A Main Bylaw is a legally enforceable rule that serves as the primary legislative document for a law within a Jurisdictional Area.,Class,https://w3id.org/citydata/part2/v1/diagrams/MainBylaw.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/MainBylaw'>Web</a></body></html>,2026-08-13T09:58:56.871648
,ResidentialRelationship,ResidentialRelationship,A ResidentialRelationship defines the relationship of a Resident to a Residence.,Class,https://w3id.org/citydata/part2/v1/diagrams/ResidentialRelationship.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/ResidentialRelationship'>Web</a></body></html>,2026-08-13T09:58:56.871648
,StreetDirection,Street Direction,A StreetDirection defines the directional component of a street name.,Class,https://w3id.org/citydata/part2/v1/diagrams/StreetDirection.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/StreetDirection'>Web</a></body></html>,2026-08-13T09:58:56.871648
,Warranty,Warranty,A Warranty is a contractual promise of some indemnification if an assertion made in the Contract is false.,Class,https://w3id.org/citydata/part2/v1/diagrams/Warranty.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/Warranty'>Web</a></body></html>,2026-08-13T09:58:56.871648
,Schedule,Schedule,"A Schedule is a component of a bylaw that outlines specific provisions, terms, or details related to the main content of the document.",Class,https://w3id.org/citydata/part2/v1/diagrams/Schedule.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/Schedule'>Web</a></body></html>,2026-08-13T09:58:56.871648
,CityServiceThing,CityServiceThing,"Added for organizational purposes, to identify classes defined in the City Service ontology.",Class,https://w3id.org/citydata/part2/v1/diagrams/CityServiceThing.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/CityServiceThing'>Web</a></body></html>,2026-08-13T09:58:56.871648
,InfrastructureElement,InfrastructureElement,An Infrastructure Element is a generic representation of a city structure of interest.,Class,https://w3id.org/citydata/part2/v1/diagrams/InfrastructureElement.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/InfrastructureElement'>Web</a></body></html>,2026-08-13T09:58:56.871648
,Outcome,Outcome,Outcomes are what stakeholders experience as a result of a Program or Service.,Class,https://w3id.org/citydata/part2/v1/diagrams/Outcome.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/Outcome'>Web</a></body></html>,2026-08-13T09:58:56.871648
,StreetType,Street Type,A StreetType defines the type of street.,Class,https://w3id.org/citydata/part2/v1/diagrams/StreetType.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/StreetType'>Web</a></body></html>,2026-08-13T09:58:56.871648
,Service,Service,A Program is composed of one or more Services.,Class,https://w3id.org/citydata/part2/v1/diagrams/Service.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/Service'>Web</a></body></html>,2026-08-13T09:58:56.871648
,Gender,Gender,Gender is a type of Code that describes the gender identity of a person.,Class,https://w3id.org/citydata/part2/v1/diagrams/Gender.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/Gender'>Web</a></body></html>,2026-08-13T09:58:56.871648
,Input,Input,Input defines the resources and the stakeholders that are needed for an Activity.,Class,https://w3id.org/citydata/part2/v1/diagrams/Input.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/Input'>Web</a></body></html>,2026-08-13T09:58:56.871648
,Law,Law,A Law is an legally enforceable rule.,Class,https://w3id.org/citydata/part2/v1/diagrams/Law.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/Law'>Web</a></body></html>,2026-08-13T09:58:56.871648
,TunnelSegment,TunnelSegment,A Tunnel Segment is a type of Infrastructure Element that represents part of a Tunnel.,Class,https://w3id.org/citydata/part2/v1/diagrams/TunnelSegment.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/TunnelSegment'>Web</a></body></html>,2026-08-13T09:58:56.871648
,BuildingUse,BuildingUse,Building Use is a type of Code that describes the use or function of a Building,Class,https://w3id.org/citydata/part2/v1/diagrams/BuildingUse.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/BuildingUse'>Web</a></body></html>,2026-08-13T09:58:56.871648
,RevisionBylaw,RevisionBylaw,A RevisionBylaw is a bylaw that amends an existing bylaw.,Class,https://w3id.org/citydata/part2/v1/diagrams/RevisionBylaw.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/RevisionBylaw'>Web</a></body></html>,2026-08-13T09:58:56.871648
,Contract,Contract,A contract is a legally binding agreement between two or more parties.,Class,https://w3id.org/citydata/part2/v1/diagrams/Contract.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/Contract'>Web</a></body></html>,2026-08-13T09:58:56.871648
,Occupation,Occupation,Occupation describes the work performed by some Employee.,Class,https://w3id.org/citydata/part2/v1/diagrams/Occupation.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/Occupation'>Web</a></body></html>,2026-08-13T09:58:56.871648
,Salary,Salary,A Salary is a form of compensation paid to an employee and is defined on an annual basis.,Class,https://w3id.org/citydata/part2/v1/diagrams/Salary.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/Salary'>Web</a></body></html>,2026-08-13T09:58:56.871648
,JurisdictionalArea,JurisdictionalArea,"A Jurisdictional Area is an abstract entity that is characterized not only by its location, but by the objects that occupy it (persons, buildings, etc), the governing body(s) it is subject to, and the activities that occur within it.",Class,https://w3id.org/citydata/part2/v1/diagrams/JurisdictionalArea.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/JurisdictionalArea'>Web</a></body></html>,2026-08-13T09:58:56.871648
,Year,Year,Represents a year in the Gregorian calendar.,Class,https://w3id.org/citydata/part2/v1/diagrams/Year.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/Year'>Web</a></body></html>,2026-08-13T09:58:56.871648
,Goal,Goal,"A goal represents some state or complex states, and allows for the representation of various groups' responsibilities.",Class,https://w3id.org/citydata/part2/v1/diagrams/Goal.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/Goal'>Web</a></body></html>,2026-08-13T09:58:56.871648
,RailSegment,RailSegment,A Rail Segment is a type of Travelled Way Segment that represents part of a Rail Link.,Class,https://w3id.org/citydata/part2/v1/diagrams/RailSegment.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/RailSegment'>Web</a></body></html>,2026-08-13T09:58:56.871648
,BylawTypeCode,BylawTypeCode,"A code identifying whether a bylaw is a main, amending, or revision bylaw.",Class,https://w3id.org/citydata/part2/v1/diagrams/BylawTypeCode.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/BylawTypeCode'>Web</a></body></html>,2026-08-13T09:58:56.871648
,City,City,A City is a specialization of a Jurisdictional Area that is formally identified as such.,Class,https://w3id.org/citydata/part2/v1/diagrams/City.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/City'>Web</a></body></html>,2026-08-13T09:58:56.871648
,Education,Education,Education is a type of Code that describes the educational background of a person.,Class,https://w3id.org/citydata/part2/v1/diagrams/Education.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/Education'>Web</a></body></html>,2026-08-13T09:58:56.871648
,CityThing,CityThing,"Added for organizational purposes, to identify classes defined for the city-level CDM ontology.",Class,https://w3id.org/citydata/part2/v1/diagrams/CityThing.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/CityThing'>Web</a></body></html>,2026-08-13T09:58:56.871648
,CityPatternThing,CityPatternThing,"Added for organizational purposes, to identify classes defined in the City Services part of the City Data Model.",Class,https://w3id.org/citydata/part2/v1/diagrams/CityPatternThing.dot.svg,<html><body><a href='https://w3id.org/citydata/part2/v1/CityPatternThing'>Web</a></body></html>,2026-08-13T09:58:56.871648
